start,end,name,capacity,place
2021-12-05T15:57,2022-12-29T14:41,Monster Club, The,25,2 North Way
2021-04-01T01:57,2022-03-20T07:40,Slap Shot 2: Breaking the Ice,26,41 Warner Terrace
2021-12-02T15:28,2022-04-04T16:20,Decoy,27,45843 Cascade Junction
2021-07-22T05:26,2022-02-16T12:24,Rich Man's Wife, The,28,3 Holy Cross Court
2021-10-24T05:03,2022-05-19T17:45,Welcome,29,056 Bashford Pass
2021-12-13T05:17,2022-11-05T06:54,Something Is Happening (Kuch Kuch Hota Hai),30,6 Logan Drive
2021-04-26T03:02,2022-04-23T14:21,Too Many Girls,31,51 Dexter Hill
2021-01-02T06:33,2022-07-13T01:02,Changeling,32,939 Laurel Place
2021-06-19T03:38,2022-04-04T00:03,Never Sleep Again: The Elm Street Legacy,33,1 Namekagon Hill
2021-01-29T04:08,2022-04-23T06:36,Melvin and Howard,34,90 Northland Pass
2021-10-17T12:44,2022-04-03T11:31,Humpday,35,8 Lakewood Gardens Avenue
2021-10-01T14:36,2022-07-04T13:19,India (Indien),36,24738 2nd Trail
2021-10-10T20:22,2022-07-28T17:28,Christmas Tale, A (Un conte de NoÃƒÂ«l),37,9 Ridge Oak Circle
2021-07-07T10:50,2022-06-15T06:48,Together (Tillsammans),38,5746 Longview Trail
2021-04-17T05:59,2022-11-08T17:07,Jefferson in Paris,39,3199 Southridge Junction
2021-09-19T05:33,2022-12-08T02:09,Chu Chin Chow,40,4 Lerdahl Lane
2021-03-26T22:05,2022-11-25T05:47,Hamlet (Gamlet),41,05 Charing Cross Center
2021-03-06T12:17,2022-09-01T12:03,Dark Mirror, The,42,61861 Steensland Road
2021-06-11T08:46,2022-02-11T21:54,Super Cops, The,43,2228 Burning Wood Hill
2021-08-11T14:05,2022-08-12T06:14,V/H/S,44,72634 Nova Pass
2021-01-31T11:57,2022-09-15T00:09,Trixie,45,3709 Loomis Pass
2021-03-05T00:56,2022-03-06T18:50,Tracers,46,51449 3rd Avenue
2021-12-19T13:16,2022-01-02T16:53,Dark Tide,47,9572 Anderson Hill
2021-07-21T03:12,2022-08-19T14:27,Kin-Dza-Dza!,48,39847 Garrison Park
2021-05-14T03:52,2022-04-28T02:56,Gideon's Army,49,615 Homewood Way
2021-08-04T19:07,2022-05-08T15:16,Fever,50,3305 Dennis Lane
2021-09-20T01:51,2022-06-23T12:28,Card Subject To Change,51,5 Southridge Court
2021-10-24T22:30,2022-02-27T19:16,Fresh Bait (L'appÃƒÂ¢t) ,52,4 Hauk Center
2021-05-28T15:50,2022-06-16T18:51,Herb & Dorothy,53,45 Hagan Center
2021-04-17T07:48,2022-02-11T10:35,Source Family, The,54,4592 Scoville Drive
2021-10-24T12:53,2022-05-28T00:58,Rory O'Shea Was Here (Inside I'm Dancing),55,1 Lillian Street
2021-04-10T12:07,2022-07-25T03:30,Big Chill, The,56,6873 Lawn Place
2021-11-29T10:49,2022-03-24T10:45,Electric Boogaloo: The Wild, Untold Story of Cannon Films,57,00912 Stoughton Alley
2021-06-10T13:06,2022-10-26T20:27,BonsÃƒÂ¡i,58,64 Cascade Circle
2021-02-26T18:44,2022-11-22T17:32,Angels Over Broadway,59,786 Rigney Lane
2021-05-21T01:13,2022-10-04T03:42,Eight Legged Freaks,60,3 Bartelt Trail
2021-01-10T20:54,2022-02-15T23:35,Virginia,61,556 Pleasure Place
2021-07-24T08:52,2022-12-03T14:52,Ice Harvest, The,62,5409 Twin Pines Trail
2021-04-03T18:00,2022-03-30T01:42,Halloween 4: The Return of Michael Myers,63,1672 Express Street
2021-11-04T21:20,2022-12-27T01:50,Life and Times of Allen Ginsberg, The,64,20429 Kedzie Lane
2021-05-24T03:23,2022-07-04T02:21,Wedding Belles,65,16082 Grasskamp Pass
2021-01-13T21:07,2022-04-08T02:38,Miracle on 34th Street,66,4 Commercial Point
2021-03-20T21:02,2022-10-20T00:52,Eagle, The,67,1 Spohn Terrace
2021-12-29T09:01,2022-12-19T18:05,Indochine,68,57608 Badeau Park
2021-02-13T14:16,2022-11-06T23:00,Yellow,69,4579 International Alley
2021-01-05T18:03,2022-09-09T10:25,Secret Honor,70,6 Jay Pass
2021-07-19T00:52,2022-09-21T09:09,10 Mountains 10 Years,71,38 Havey Trail
2021-06-22T21:00,2022-08-26T04:00,July Rhapsody (Laam yan sei sap),72,73 Havey Junction
2021-01-27T05:41,2022-01-12T18:26,Ida,73,7020 Dovetail Circle
2021-06-13T21:13,2022-02-15T14:52,Senseless,74,9370 Sunnyside Avenue
2021-12-02T23:58,2022-04-27T13:37,Michael Jackson's This Is It,75,6223 Hansons Court
2021-05-28T06:14,2022-03-01T22:42,Shadow Conspiracy,76,89 Annamark Plaza
2021-02-22T22:16,2022-07-29T14:08,Young & Beautiful,77,9 Corscot Avenue
2021-06-08T10:47,2022-05-24T17:05,Quiet as a Mouse (MuxmÃƒÂ¤uschenstill),78,4 Crowley Crossing
2021-03-26T12:34,2022-03-28T13:58,Stockholm Stories,79,00092 Lerdahl Place
2021-07-30T21:37,2022-08-23T18:13,Meet Bill,80,7727 West Trail
